sep=;
12:00; Saturday; October 05; 2024
Study name:Side_Impact

Beam Name  ;Element  ;End  ;Axial (N/m^2)  ;Bending Dir1 (N/m^2)  ;Bending Dir2 (N/m^2)  ;Torsional (N/m^2)  ;Worst Case (N/m^2)
  ;  ;2  ;3.1554e+07  ;-1.0716e+08  ;-4.5959e+07  ;1.2261e+07  ;1.4815e+08
  ;96  ;1  ;3.4828e+07  ;-1.0944e+08  ;-4.5959e+07  ;5.1647e+06  ;1.5353e+08
  ;  ;2  ;3.4827e+07  ;-1.0384e+08  ;-1.0672e+07  ;5.1647e+06  ;1.3921e+08
  ;97  ;1  ;3.8259e+07  ;-1.0405e+08  ;-1.0672e+07  ;-3.9293e+06  ;1.4286e+08
  ;  ;2  ;3.8258e+07  ;-9.8445e+07  ;1.4722e+07  ;-3.9293e+06  ;1.378e+08
  ;98  ;1  ;4.0527e+07  ;-9.5585e+07  ;1.4722e+07  ;-1.2417e+07  ;1.3724e+08
  ;  ;2  ;4.0527e+07  ;-8.9978e+07  ;2.9451e+07  ;-1.2417e+07  ;1.352e+08
  ;99  ;1  ;4.1564e+07  ;-8.4298e+07  ;2.9451e+07  ;-2.0041e+07  ;1.3086e+08
  ;  ;2  ;4.1564e+07  ;-7.8691e+07  ;3.307e+07  ;-2.0041e+07  ;1.2692e+08
Beam-11(Circuler tube 1X0.06(16_GAUGE)(1)[9])  ;  ;  ;  ;  ;  ;  ;
  ;100  ;1  ;4.956e+06  ;2.1679e+08  ;3.4049e+07  ;1.3648e+07  ;2.244e+08
  ;  ;2  ;4.9583e+06  ;1.8613e+08  ;2.696e+07  ;1.3648e+07  ;1.9303e+08
  ;101  ;1  ;4.9583e+06  ;1.8613e+08  ;2.6961e+07  ;1.3648e+07  ;1.9303e+08
  ;  ;2  ;4.9606e+06  ;1.5547e+08  ;1.9855e+07  ;1.3648e+07  ;1.617e+08
  ;102  ;1  ;4.9606e+06  ;1.5547e+08  ;1.9854e+07  ;1.3648e+07  ;1.617e+08
  ;  ;2  ;4.9629e+06  ;1.2481e+08  ;1.2731e+07  ;1.3648e+07  ;1.3042e+08
  ;103  ;1  ;4.9629e+06  ;1.2481e+08  ;1.2731e+07  ;1.3648e+07  ;1.3042e+08
  ;  ;2  ;4.9652e+06  ;9.4155e+07  ;5.5899e+06  ;1.3648e+07  ;9.9287e+07
  ;104  ;1  ;4.9652e+06  ;9.4155e+07  ;5.5899e+06  ;1.3648e+07  ;9.9287e+07
  ;  ;2  ;4.9676e+06  ;6.3497e+07  ;-1.5685e+06  ;1.3648e+07  ;6.8484e+07
  ;105  ;1  ;4.9676e+06  ;6.3497e+07  ;-1.5686e+06  ;1.3648e+07  ;6.8484e+07
  ;  ;2  ;4.9699e+06  ;3.2838e+07  ;-8.7445e+06  ;1.3648e+07  ;3.8953e+07
  ;106  ;1  ;4.9699e+06  ;3.2838e+07  ;-8.7444e+06  ;1.3648e+07  ;3.8953e+07
  ;  ;2  ;4.9722e+06  ;2.18e+06  ;-1.5938e+07  ;1.3648e+07  ;2.1058e+07
