sep=;
11:59; Saturday; October 05; 2024
Study name:Rear_Impact

Beam Name  ;Element  ;End  ;Axial (N)  ;Shear1 (N)  ;Shear2 (N)  ;Moment 1 (N.m)  ;Moment 2 (N.m)  ;Torque (N.m)
  ;95  ;1  ;-0.85508  ;-0.87693  ;-5.7541e-05  ;6.9314e-06  ;-0.025459  ;-3.1838e-06
  ;  ;2  ;0.82679  ;0.85101  ;5.7541e-05  ;-6.6806e-06  ;0.021693  ;3.1838e-06
  ;96  ;1  ;-0.93077  ;-0.73585  ;-5.7541e-05  ;7.039e-06  ;-0.021693  ;-2.2848e-06
  ;  ;2  ;0.86792  ;0.69184  ;5.7541e-05  ;-6.5375e-06  ;0.015472  ;2.2848e-06
  ;97  ;1  ;-0.97488  ;-0.53062  ;-5.7541e-05  ;6.8349e-06  ;-0.015472  ;-1.1149e-06
  ;  ;2  ;0.90534  ;0.49819  ;5.7541e-05  ;-6.3334e-06  ;0.010988  ;1.1149e-06
  ;98  ;1  ;-0.9781  ;-0.33342  ;-5.7541e-05  ;6.4308e-06  ;-0.010988  ;1.8533e-09
  ;  ;2  ;0.90399  ;0.31356  ;5.7541e-05  ;-5.9293e-06  ;0.0081689  ;-1.8533e-09
  ;99  ;1  ;-0.9447  ;-0.15182  ;-5.7541e-05  ;5.8389e-06  ;-0.0081689  ;1.0314e-06
  ;  ;2  ;0.86827  ;0.14513  ;5.7541e-05  ;-5.3374e-06  ;0.0068749  ;-1.0314e-06
Beam-11(Circuler tube 1X0.06(16_GAUGE)(1)[9])  ;  ;  ;  ;  ;  ;  ;  ;
  ;100  ;1  ;1.1916  ;-1.1912  ;-0.00024939  ;1.5893e-05  ;-0.075995  ;-1.2091e-08
  ;  ;2  ;-0.92676  ;0.92648  ;0.00019396  ;-6.4642e-06  ;0.030961  ;1.2091e-08
  ;101  ;1  ;0.92676  ;-0.92648  ;-0.00019012  ;6.3575e-06  ;-0.030961  ;9.6024e-09
  ;  ;2  ;-0.66197  ;0.66177  ;0.00013578  ;5.7306e-07  ;-0.0028146  ;-9.6024e-09
  ;102  ;1  ;0.66197  ;-0.66177  ;-0.00013788  ;-5.8e-07  ;0.0028146  ;1.1575e-08
  ;  ;2  ;-0.39719  ;0.39706  ;8.2704e-05  ;5.2708e-06  ;-0.025332  ;-1.1575e-08
  ;103  ;1  ;0.39718  ;-0.39706  ;-8.2704e-05  ;-5.2708e-06  ;0.025332  ;1.1576e-08
  ;  ;2  ;-0.1324  ;0.13235  ;2.7532e-05  ;7.6151e-06  ;-0.03659  ;-1.1576e-08
  ;104  ;1  ;0.1324  ;-0.13235  ;-2.7532e-05  ;-7.6151e-06  ;0.03659  ;1.1573e-08
  ;  ;2  ;0.13239  ;-0.13235  ;-2.764e-05  ;7.6128e-06  ;-0.03659  ;-1.1573e-08
  ;105  ;1  ;-0.13239  ;0.13235  ;2.7613e-05  ;-7.6308e-06  ;0.03659  ;-1.4064e-08
  ;  ;2  ;0.39718  ;-0.39706  ;-8.273e-05  ;5.2843e-06  ;-0.025332  ;1.4064e-08
  ;106  ;1  ;-0.39718  ;0.39706  ;8.2421e-05  ;-5.2468e-06  ;0.025332  ;3.6867e-09
  ;  ;2  ;0.66197  ;-0.66177  ;-0.00013733  ;5.7356e-07  ;-0.0028146  ;-3.6867e-09
  ;107  ;1  ;-0.66197  ;0.66177  ;0.0001385  ;-5.805e-07  ;0.0028146  ;1.7143e-09
  ;  ;2  ;0.92676  ;-0.92648  ;-0.00019388  ;-6.4878e-06  ;0.030961  ;-1.7143e-09
  ;108  ;1  ;-0.92676  ;0.92648  ;0.00019388  ;6.4878e-06  ;-0.030961  ;1.7143e-09
  ;  ;2  ;1.1915  ;-1.1912  ;-0.00024925  ;-1.5911e-05  ;0.075995  ;-1.7143e-09
Beam-12(Circuler tube 1X0.06(16_GAUGE)(56)[3])  ;  ;  ;  ;  ;  ;  ;  ;
  ;109  ;1  ;44,395  ;-114.33  ;91.017  ;-8.8387  ;-64.752  ;73.78
  ;  ;2  ;-44,395  ;113.98  ;-91.021  ;5.1469  ;60.122  ;-73.78
  ;110  ;1  ;44,395  ;-114.01  ;91.021  ;-5.147  ;-60.122  ;73.78
  ;  ;2  ;-44,395  ;113.66  ;-91.025  ;1.4551  ;55.504  ;-73.78
  ;111  ;1  ;44,395  ;-113.61  ;91.021  ;-1.455  ;-55.504  ;73.78
  ;  ;2  ;-44,396  ;113.26  ;-91.025  ;-2.237  ;50.903  ;-73.78
  ;112  ;1  ;44,396  ;-113.31  ;90.995  ;2.2372  ;-50.903  ;73.78
  ;  ;2  ;-44,396  ;112.96  ;-90.999  ;-5.9281  ;46.315  ;-73.78
  ;113  ;1  ;44,396  ;-112.98  ;91.062  ;5.9276  ;-46.314  ;73.78
  ;  ;2  ;-44,396  ;112.63  ;-91.066  ;-9.6212  ;41.739  ;-73.78
  ;114  ;1  ;44,396  ;-112.58  ;91.037  ;9.6215  ;-41.739  ;73.78
  ;  ;2  ;-44,396  ;112.23  ;-91.041  ;-13.314  ;37.18  ;-73.78
  ;115  ;1  ;44,396  ;-112.26  ;91.008  ;13.314  ;-37.18  ;73.78
  ;  ;2  ;-44,396  ;111.91  ;-91.012  ;-17.005  ;32.634  ;-73.78
  ;116  ;1  ;44,396  ;-111.88  ;91.045  ;17.005  ;-32.634  ;73.78
  ;  ;2  ;-44,396  ;111.53  ;-91.049  ;-20.698  ;28.103  ;-73.78
  ;117  ;1  ;44,396  ;-111.56  ;91.049  ;20.698  ;-28.103  ;73.78
  ;  ;2  ;-44,396  ;111.22  ;-91.053  ;-24.391  ;23.585  ;-73.78
  ;118  ;1  ;44,396  ;-111.19  ;91.046  ;24.391  ;-23.585  ;73.78
  ;  ;2  ;-44,396  ;110.84  ;-91.05  ;-28.084  ;19.082  ;-73.78
  ;119  ;1  ;44,396  ;-110.87  ;91.057  ;28.084  ;-19.082  ;73.78
  ;  ;2  ;-44,396  ;110.52  ;-91.061  ;-31.778  ;14.592  ;-73.78
  ;120  ;1  ;44,396  ;-110.52  ;91.061  ;31.778  ;-14.592  ;73.78
  ;  ;2  ;-44,396  ;110.17  ;-91.065  ;-35.471  ;10.117  ;-73.78
  ;121  ;1  ;44,396  ;-110.14  ;91.065  ;35.471  ;-10.117  ;73.78
